cloud_name,label
VID_20220217_101324_mod4_1_23.ply,0
VID_20220217_101324_mod4_5_21.ply,0
VID_20220217_101324_mod4_7_15.ply,0
VID_20220217_101324_mod4_3_17.ply,0
VID_20220217_101324_mod4_8_15.ply,0
VID_20220217_101324_mod4_2_15.ply,0
VID_20220217_101324_mod4_18_24.ply,0
VID_20220217_101324_mod4_5_18.ply,0
VID_20220217_101324_mod4_2_23.ply,0
VID_20220217_101324_mod4_11_22.ply,0
VID_20220217_101324_mod4_11_24.ply,0
VID_20220217_101324_mod4_10_24.ply,0
VID_20220217_101324_mod4_3_21.ply,0
VID_20220217_101324_mod4_2_19.ply,0
VID_20220217_101324_mod4_10_21.ply,0
VID_20220217_101324_mod4_1_8.ply,0
VID_20220217_101324_mod4_12_23.ply,0
VID_20220217_101324_mod4_3_13.ply,0
VID_20220217_101324_mod4_10_16.ply,0
VID_20220217_101324_mod4_6_23.ply,0
VID_20220217_101324_mod4_0_12.ply,0
VID_20220217_101324_mod4_9_18.ply,0
VID_20220217_101324_mod4_9_20.ply,0
VID_20220217_101324_mod4_7_24.ply,0
VID_20220217_101324_mod4_1_9.ply,0
VID_20220217_101324_mod4_10_18.ply,0
VID_20220217_101324_mod4_0_18.ply,0
VID_20220217_101324_mod4_4_15.ply,0
VID_20220217_101324_mod4_1_11.ply,0
VID_20220217_101324_mod4_3_19.ply,0
VID_20220217_101324_mod4_0_8.ply,0
VID_20220217_101324_mod4_1_18.ply,0
VID_20220217_101324_mod4_15_24.ply,0
VID_20220217_101324_mod4_8_18.ply,0
VID_20220217_101324_mod4_10_19.ply,0
VID_20220217_101324_mod4_6_20.ply,0
VID_20220217_101324_mod4_3_12.ply,0
VID_20220217_101324_mod4_4_19.ply,0
VID_20220217_101324_mod4_7_17.ply,0
VID_20220217_101324_mod4_6_14.ply,0
VID_20220217_101324_mod4_4_12.ply,0
VID_20220217_101324_mod4_12_21.ply,0
VID_20220217_101324_mod4_12_19.ply,0
VID_20220217_101324_mod4_4_22.ply,0
VID_20220217_101324_mod4_3_9.ply,0
VID_20220217_101324_mod4_4_24.ply,0
VID_20220217_101324_mod4_9_22.ply,0
VID_20220217_101324_mod4_0_10.ply,0
VID_20220217_101324_mod4_17_24.ply,0
VID_20220217_101324_mod4_11_23.ply,0
VID_20220217_101324_mod4_4_11.ply,0
VID_20220217_101324_mod4_4_13.ply,0
VID_20220217_101324_mod4_9_15.ply,0
VID_20220217_101324_mod4_12_22.ply,0
VID_20220217_101324_mod4_1_7.ply,0
VID_20220217_101324_mod4_14_24.ply,0
VID_20220217_101324_mod4_15_22.ply,0
VID_20220217_101324_mod4_2_22.ply,0
VID_20220217_101324_mod4_5_24.ply,0
VID_20220217_101324_mod4_4_10.ply,0
VID_20220217_101324_mod4_1_14.ply,0
VID_20220217_101324_mod4_7_23.ply,0
VID_20220217_101324_mod4_17_23.ply,0
VID_20220217_101324_mod4_0_24.ply,0
VID_20220217_101324_mod4_6_12.ply,0
VID_20220217_101324_mod4_5_20.ply,0
VID_20220217_101324_mod4_14_21.ply,0
VID_20220217_101324_mod4_0_6.ply,0
VID_20220217_101324_mod4_7_20.ply,0
VID_20220217_101324_mod4_1_21.ply,0
VID_20220217_101324_mod4_12_24.ply,0
VID_20220217_101324_mod4_10_17.ply,0
VID_20220217_101324_mod4_5_22.ply,0
VID_20220217_101324_mod4_0_19.ply,0
VID_20220217_101324_mod4_5_14.ply,0
VID_20220217_101324_mod4_6_22.ply,0
VID_20220217_101324_mod4_9_17.ply,0
VID_20220217_101324_mod4_9_23.ply,0
VID_20220217_101324_mod4_13_23.ply,0
VID_20220217_101324_mod4_13_20.ply,0
VID_20220217_101324_mod4_7_13.ply,0
VID_20220217_101324_mod4_6_15.ply,0
VID_20220217_101324_mod4_6_13.ply,0
VID_20220217_101324_mod4_9_16.ply,0
VID_20220217_101324_mod4_6_16.ply,0
VID_20220217_101324_mod4_8_19.ply,0
VID_20220217_101324_mod4_4_23.ply,0
VID_20220217_101324_mod4_1_19.ply,0
VID_20220217_101324_mod4_1_24.ply,0
VID_20220217_101324_mod4_3_22.ply,0
VID_20220217_101324_mod4_2_12.ply,0
VID_20220217_101324_mod4_3_16.ply,0
VID_20220217_101324_mod4_4_18.ply,0
VID_20220217_101324_mod4_7_22.ply,0
VID_20220217_101324_mod4_13_21.ply,0
VID_20220217_101324_mod4_8_24.ply,0
VID_20220217_101324_mod4_8_22.ply,0
VID_20220217_101324_mod4_3_20.ply,0
VID_20220217_101324_mod4_4_20.ply,0
VID_20220217_101324_mod4_4_16.ply,0
VID_20220217_101324_mod4_2_20.ply,0
VID_20220217_101324_mod4_3_15.ply,0
VID_20220217_101324_mod4_5_13.ply,0
VID_20220217_101324_mod4_0_13.ply,0
VID_20220217_101324_mod4_5_16.ply,0
VID_20220217_101324_mod4_1_16.ply,0
VID_20220217_101324_mod4_3_10.ply,0
VID_20220217_101324_mod4_6_18.ply,0
VID_20220217_101324_mod4_14_20.ply,0
VID_20220217_101324_mod4_2_9.ply,0
VID_20220217_101324_mod4_6_21.ply,0
VID_20220217_101324_mod4_2_21.ply,0
VID_20220217_101324_mod4_7_16.ply,0
VID_20220217_101324_mod4_0_9.ply,0
VID_20220217_101324_mod4_3_18.ply,0
VID_20220217_101324_mod4_15_21.ply,0
VID_20220217_101324_mod4_1_13.ply,0
VID_20220217_101324_mod4_5_11.ply,0
VID_20220217_101324_mod4_9_24.ply,0
VID_20220217_101324_mod4_2_10.ply,0
VID_20220217_101324_mod4_8_17.ply,0
VID_20220217_101324_mod4_0_16.ply,0
VID_20220217_101324_mod4_13_22.ply,0
VID_20220217_101324_mod4_2_17.ply,0
VID_20220217_101324_mod4_0_7.ply,0
VID_20220217_101324_mod4_4_21.ply,0
VID_20220217_101324_mod4_1_15.ply,0
VID_20220217_101324_mod4_12_20.ply,0
VID_20220217_101324_mod4_0_15.ply,0
VID_20220217_101324_mod4_3_11.ply,0
VID_20220217_101324_mod4_16_23.ply,0
VID_20220217_101324_mod4_14_23.ply,0
VID_20220217_101324_mod4_7_18.ply,0
VID_20220217_101324_mod4_0_23.ply,0
VID_20220217_101324_mod4_7_21.ply,0
VID_20220217_101324_mod4_8_23.ply,0
VID_20220217_101324_mod4_1_22.ply,0
VID_20220217_101324_mod4_15_23.ply,0
VID_20220217_101324_mod4_16_24.ply,0
VID_20220217_101324_mod4_9_19.ply,0
VID_20220217_101324_mod4_4_14.ply,0
VID_20220217_101324_mod4_6_24.ply,0
VID_20220217_101324_mod4_7_19.ply,0
VID_20220217_101324_mod4_2_8.ply,0
VID_20220217_101324_mod4_0_14.ply,0
VID_20220217_101324_mod4_6_19.ply,0
VID_20220217_101324_mod4_13_19.ply,0
VID_20220217_101324_mod4_8_20.ply,0
VID_20220217_101324_mod4_5_17.ply,0
VID_20220217_101324_mod4_10_23.ply,0
VID_20220217_101324_mod4_11_19.ply,0
VID_20220217_101324_mod4_14_22.ply,0
VID_20220217_101324_mod4_1_17.ply,0
