track_id,label,nro_kf,img_name_0,x_0,y_0,r_0,img_name_1,x_1,y_1,r_1
0,baya,2,VID_20220217_111542_F0.png,814,345,20.72773,VID_20220217_111542_F-1.png,764,479,NULL
1,baya,2,VID_20220217_111542_F0.png,846,363,24.38081,VID_20220217_111542_F-1.png,791,483,NULL
2,baya,2,VID_20220217_111542_F0.png,765,341,23.83008,VID_20220217_111542_F-1.png,717,496,NULL
3,baya,2,VID_20220217_111542_F0.png,881,287,24.57171,VID_20220217_111542_F-1.png,827,427,NULL
4,keypoint,2,VID_20220217_111542_F0.png,922,528,NULL,VID_20220217_111542_F-1.png,839,606,NULL
5,cal_1,2,VID_20220217_111542_F0.png,689,179,NULL,VID_20220217_111542_F-1.png,660,280,NULL
6,keypoint,2,VID_20220217_111542_F0.png,536,581,NULL,VID_20220217_111542_F-1.png,536,580,NULL
7,baya,2,VID_20220217_111542_F0.png,846,293,21.55318,VID_20220217_111542_F-1.png,795,445,NULL
8,baya,2,VID_20220217_111542_F0.png,926,319,21.92429,VID_20220217_111542_F-1.png,880,421,NULL
9,keypoint,2,VID_20220217_111542_F0.png,975,431,NULL,VID_20220217_111542_F-1.png,896,524,NULL
10,baya,2,VID_20220217_111542_F0.png,905,322,19.55838,VID_20220217_111542_F-1.png,849,450,NULL
11,baya,2,VID_20220217_111542_F0.png,774,297,22.91407,VID_20220217_111542_F-1.png,725,464,NULL
12,baya,2,VID_20220217_111542_F0.png,867,328,24.73129,VID_20220217_111542_F-1.png,816,468,NULL
13,keypoint,2,VID_20220217_111542_F0.png,658,506,NULL,VID_20220217_111542_F-1.png,629,573,NULL
14,baya,2,VID_20220217_111542_F0.png,928,289,21.75206,VID_20220217_111542_F-1.png,878,401,NULL
15,val_2,2,VID_20220217_111542_F0.png,487,183,NULL,VID_20220217_111542_F-1.png,461,276,NULL
16,baya,2,VID_20220217_111542_F0.png,741,328,20.00926,VID_20220217_111542_F-1.png,697,465,NULL
17,baya,2,VID_20220217_111542_F0.png,803,314,26.03408,VID_20220217_111542_F-1.png,757,445,NULL
18,baya,2,VID_20220217_111542_F0.png,734,366,19.14782,VID_20220217_111542_F-1.png,687,482,NULL
19,cal_2,2,VID_20220217_111542_F0.png,740,178,NULL,VID_20220217_111542_F-1.png,711,281,NULL
20,val_1,2,VID_20220217_111542_F0.png,462,183,NULL,VID_20220217_111542_F-1.png,436,276,NULL
21,baya,2,VID_20220217_111542_F0.png,762,295,22.51503,VID_20220217_111542_F-1.png,718,432,NULL
22,baya,2,VID_20220217_111542_F0.png,887,360,21.63041,VID_20220217_111542_F-1.png,834,479,NULL
23,val_2,2,VID_20220217_111542_F0.png,537,182,NULL,VID_20220217_111542_F-1.png,510,277,NULL
24,baya,2,VID_20220217_111542_F0.png,679,326,23.22283,VID_20220217_111542_F-1.png,641,439,NULL
25,val_1,2,VID_20220217_111542_F0.png,412,184,NULL,VID_20220217_111542_F-1.png,387,274,NULL
26,baya,2,VID_20220217_111542_F0.png,702,388,20.81655,VID_20220217_111542_F-1.png,667,464,NULL
27,baya,2,VID_20220217_111542_F0.png,721,304,21.13935,VID_20220217_111542_F-1.png,685,430,NULL
