track_id,label,nro_kf,img_name_0,x_0,y_0,r_0,img_name_1,x_1,y_1,r_1
0,baya,2,VID_20220217_112117_F0.png,801,428,29.14138,VID_20220217_112117_F3.png,900,413,NULL
1,baya,2,VID_20220217_112117_F0.png,677,299,21.37592,VID_20220217_112117_F3.png,793,305,NULL
2,baya,2,VID_20220217_112117_F0.png,747,254,28.21152,VID_20220217_112117_F3.png,860,267,NULL
3,baya,2,VID_20220217_112117_F0.png,731,345,NULL,VID_20220217_112117_F3.png,124,-478,1108.56195
4,baya,2,VID_20220217_112117_F0.png,630,222,NULL,VID_20220217_112117_F3.png,35,-176,823.25834
5,baya,2,VID_20220217_112117_F0.png,845,225,25.1873,VID_20220217_112117_F3.png,921,242,NULL
6,baya,2,VID_20220217_112117_F0.png,652,246,28.66775,VID_20220217_112117_F3.png,780,259,NULL
7,val_1,2,VID_20220217_112117_F0.png,270,158,NULL,VID_20220217_112117_F3.png,388,171,NULL
8,val_1,2,VID_20220217_112117_F0.png,330,158,NULL,VID_20220217_112117_F3.png,450,173,NULL
9,cal_2,2,VID_20220217_112117_F0.png,662,159,NULL,VID_20220217_112117_F3.png,746,186,NULL
10,baya,2,VID_20220217_112117_F0.png,815,226,NULL,VID_20220217_112117_F3.png,200,37,727.63379
11,cal_1,2,VID_20220217_112117_F0.png,601,159,NULL,VID_20220217_112117_F3.png,697,185,NULL
12,baya,2,VID_20220217_112117_F0.png,701,473,NULL,VID_20220217_112117_F3.png,87,96,802.76086
13,baya,2,VID_20220217_112117_F0.png,888,315,NULL,VID_20220217_112117_F3.png,224,3753,3529.3165
14,baya,2,VID_20220217_112117_F0.png,875,316,NULL,VID_20220217_112117_F3.png,246,122,719.5005
15,baya,2,VID_20220217_112117_F0.png,797,295,26.2688,VID_20220217_112117_F3.png,884,300,NULL
16,baya,2,VID_20220217_112117_F0.png,684,278,NULL,VID_20220217_112117_F3.png,118,-688,1165.84906
17,baya,2,VID_20220217_112117_F0.png,738,454,29.32883,VID_20220217_112117_F3.png,856,438,NULL
18,baya,2,VID_20220217_112117_F0.png,657,359,26.47565,VID_20220217_112117_F3.png,778,359,NULL
19,baya,2,VID_20220217_112117_F0.png,805,367,30.09751,VID_20220217_112117_F3.png,910,364,NULL
20,keypoint,2,VID_20220217_112117_F0.png,408,654,NULL,VID_20220217_112117_F3.png,568,657,NULL
21,keypoint,2,VID_20220217_112117_F0.png,870,669,NULL,VID_20220217_112117_F3.png,987,607,NULL
22,keypoint,2,VID_20220217_112117_F0.png,555,599,NULL,VID_20220217_112117_F3.png,729,577,NULL
23,keypoint,2,VID_20220217_112117_F0.png,916,535,NULL,VID_20220217_112117_F3.png,985,497,NULL
24,baya,2,VID_20220217_112117_F0.png,593,424,27.40894,VID_20220217_112117_F3.png,716,419,NULL
25,baya,2,VID_20220217_112117_F0.png,582,297,28.39172,VID_20220217_112117_F3.png,730,301,NULL
26,baya,2,VID_20220217_112117_F0.png,634,467,25.5384,VID_20220217_112117_F3.png,754,457,NULL
27,val_2,2,VID_20220217_112117_F0.png,420,159,NULL,VID_20220217_112117_F3.png,538,177,NULL
28,baya,2,VID_20220217_112117_F0.png,755,401,26.70917,VID_20220217_112117_F3.png,873,392,NULL
29,val_2,2,VID_20220217_112117_F0.png,360,158,NULL,VID_20220217_112117_F3.png,480,174,NULL
