track_id,label,nro_kf,img_name_0,x_0,y_0,r_0,img_name_1,x_1,y_1,r_1
0,keypoint,2,VID_20220217_103216_F0.png,796,144,NULL,VID_20220217_103216_F-1.png,763,131,NULL
1,baya,2,VID_20220217_103216_F0.png,459,366,24.79615,VID_20220217_103216_F-1.png,482,245,NULL
2,val_2,2,VID_20220217_103216_F0.png,741,571,NULL,VID_20220217_103216_F-1.png,735,469,NULL
3,baya,2,VID_20220217_103216_F0.png,512,339,24.81451,VID_20220217_103216_F-1.png,535,231,NULL
4,baya,2,VID_20220217_103216_F0.png,438,420,24.56222,VID_20220217_103216_F-1.png,464,288,NULL
5,baya,2,VID_20220217_103216_F0.png,416,379,23.78167,VID_20220217_103216_F-1.png,443,258,NULL
6,keypoint,2,VID_20220217_103216_F0.png,652,204,NULL,VID_20220217_103216_F-1.png,655,137,NULL
7,baya,2,VID_20220217_103216_F0.png,389,378,23.22806,VID_20220217_103216_F-1.png,413,266,NULL
8,cal_2,2,VID_20220217_103216_F0.png,630,567,NULL,VID_20220217_103216_F-1.png,629,464,NULL
9,baya,2,VID_20220217_103216_F0.png,563,380,24.64235,VID_20220217_103216_F-1.png,572,298,NULL
10,val_2,2,VID_20220217_103216_F0.png,797,574,NULL,VID_20220217_103216_F-1.png,788,472,NULL
11,baya,2,VID_20220217_103216_F0.png,439,450,24.39046,VID_20220217_103216_F-1.png,460,330,NULL
12,baya,2,VID_20220217_103216_F0.png,558,305,24.55056,VID_20220217_103216_F-1.png,570,213,NULL
13,val_1,2,VID_20220217_103216_F0.png,881,578,NULL,VID_20220217_103216_F-1.png,868,476,NULL
14,keypoint,2,VID_20220217_103216_F0.png,753,293,NULL,VID_20220217_103216_F-1.png,736,227,NULL
15,keypoint,2,VID_20220217_103216_F0.png,344,132,NULL,VID_20220217_103216_F-1.png,409,68,NULL
16,baya,2,VID_20220217_103216_F0.png,446,469,24.80731,VID_20220217_103216_F-1.png,457,367,NULL
17,cal_1,2,VID_20220217_103216_F0.png,686,569,NULL,VID_20220217_103216_F-1.png,682,467,NULL
18,baya,2,VID_20220217_103216_F0.png,391,425,23.91222,VID_20220217_103216_F-1.png,422,297,NULL
19,baya,2,VID_20220217_103216_F0.png,522,445,20.99548,VID_20220217_103216_F-1.png,535,337,NULL
20,val_1,2,VID_20220217_103216_F0.png,825,575,NULL,VID_20220217_103216_F-1.png,815,473,NULL
21,baya,2,VID_20220217_103216_F0.png,481,440,25.25902,VID_20220217_103216_F-1.png,501,317,NULL
22,baya,2,VID_20220217_103216_F0.png,399,458,20.05551,VID_20220217_103216_F-1.png,423,337,NULL
23,baya,2,VID_20220217_103216_F0.png,561,424,23.21734,VID_20220217_103216_F-1.png,570,326,NULL
24,baya,2,VID_20220217_103216_F0.png,578,349,27.61811,VID_20220217_103216_F-1.png,595,235,NULL
25,baya,2,VID_20220217_103216_F0.png,486,404,25.81691,VID_20220217_103216_F-1.png,512,272,NULL
