track_id,label,nro_kf,img_name_0,x_0,y_0,r_0,img_name_1,x_1,y_1,r_1
0,baya,2,VID_20220217_104609_F0.png,737,351,20.08634,VID_20220217_104609_F-1.png,702,381,NULL
1,val_2,2,VID_20220217_104609_F0.png,458,173,NULL,VID_20220217_104609_F-1.png,480,187,NULL
2,baya,2,VID_20220217_104609_F0.png,846,346,23.08313,VID_20220217_104609_F-1.png,802,377,NULL
3,keypoint,2,VID_20220217_104609_F0.png,879,593,NULL,VID_20220217_104609_F-1.png,806,566,NULL
4,baya,2,VID_20220217_104609_F0.png,763,385,20.9774,VID_20220217_104609_F-1.png,729,406,NULL
5,keypoint,2,VID_20220217_104609_F0.png,563,534,NULL,VID_20220217_104609_F-1.png,575,502,NULL
6,cal_2,2,VID_20220217_104609_F0.png,542,172,NULL,VID_20220217_104609_F-1.png,553,191,NULL
7,baya,2,VID_20220217_104609_F0.png,756,327,24.48504,VID_20220217_104609_F-1.png,724,368,NULL
8,baya,2,VID_20220217_104609_F0.png,620,411,23.67673,VID_20220217_104609_F-1.png,617,414,NULL
9,val_1,2,VID_20220217_104609_F0.png,317,172,NULL,VID_20220217_104609_F-1.png,361,180,NULL
10,baya,2,VID_20220217_104609_F0.png,794,300,23.04244,VID_20220217_104609_F-1.png,757,349,NULL
11,baya,2,VID_20220217_104609_F0.png,824,315,20.28806,VID_20220217_104609_F-1.png,788,343,NULL
12,baya,2,VID_20220217_104609_F0.png,753,266,22.40154,VID_20220217_104609_F-1.png,731,299,NULL
13,baya,2,VID_20220217_104609_F0.png,718,278,22.58099,VID_20220217_104609_F-1.png,698,315,NULL
14,keypoint,2,VID_20220217_104609_F0.png,458,447,NULL,VID_20220217_104609_F-1.png,497,417,NULL
15,baya,2,VID_20220217_104609_F0.png,605,358,20.87061,VID_20220217_104609_F-1.png,609,364,NULL
16,val_1,2,VID_20220217_104609_F0.png,374,172,NULL,VID_20220217_104609_F-1.png,409,183,NULL
17,baya,2,VID_20220217_104609_F0.png,654,432,18.57945,VID_20220217_104609_F-1.png,640,440,NULL
18,keypoint,2,VID_20220217_104609_F0.png,432,608,NULL,VID_20220217_104609_F-1.png,486,518,NULL
19,baya,2,VID_20220217_104609_F0.png,722,454,22.77803,VID_20220217_104609_F-1.png,704,438,NULL
20,baya,2,VID_20220217_104609_F0.png,764,298,19.33754,VID_20220217_104609_F-1.png,735,332,NULL
21,baya,2,VID_20220217_104609_F0.png,639,343,22.92786,VID_20220217_104609_F-1.png,633,335,NULL
22,val_2,2,VID_20220217_104609_F0.png,401,172,NULL,VID_20220217_104609_F-1.png,432,184,NULL
23,baya,2,VID_20220217_104609_F0.png,793,355,22.7211,VID_20220217_104609_F-1.png,755,389,NULL
24,baya,2,VID_20220217_104609_F0.png,809,330,17.82833,VID_20220217_104609_F-1.png,777,366,NULL
25,baya,2,VID_20220217_104609_F0.png,702,317,20.58215,VID_20220217_104609_F-1.png,683,348,NULL
26,cal_1,2,VID_20220217_104609_F0.png,486,173,NULL,VID_20220217_104609_F-1.png,505,188,NULL
27,baya,2,VID_20220217_104609_F0.png,696,427,23.42324,VID_20220217_104609_F-1.png,674,443,NULL
28,baya,2,VID_20220217_104609_F0.png,721,388,21.03622,VID_20220217_104609_F-1.png,694,407,NULL
29,baya,2,VID_20220217_104609_F0.png,675,288,23.68489,VID_20220217_104609_F-1.png,658,337,NULL
30,baya,2,VID_20220217_104609_F0.png,667,474,24.25932,VID_20220217_104609_F-1.png,654,456,NULL
