,track_id,label,nro_kf,img_name_0,x_0,y_0,r_0,img_name_1,x_1,y_1,r_1
0,104_1,cal_2,2,VID_20220217_112402_F-1.png,642,298,NULL,VID_20220217_112402_F3.png,662,201,NULL
1,104_2,baya,2,VID_20220217_112402_F-1.png,664,413,NULL,VID_20220217_112402_F3.png,700,315,NULL
2,104_3,baya,2,VID_20220217_112402_F-1.png,764,470,NULL,VID_20220217_112402_F3.png,815,353,NULL
3,104_4,baya,2,VID_20220217_112402_F-1.png,813,501,NULL,VID_20220217_112402_F3.png,846,422,NULL
4,104_5,baya,2,VID_20220217_112402_F-1.png,691,452,NULL,VID_20220217_112402_F3.png,743,328,NULL
5,104_6,baya,2,VID_20220217_112402_F-1.png,527,424,NULL,VID_20220217_112402_F3.png,543,363,NULL
6,104_8,baya,2,VID_20220217_112402_F-1.png,513,472,NULL,VID_20220217_112402_F3.png,531,428,NULL
7,104_9,baya,2,VID_20220217_112402_F-1.png,747,534,NULL,VID_20220217_112402_F3.png,817,416,NULL
8,104_10,baya,2,VID_20220217_112402_F-1.png,618,572,NULL,VID_20220217_112402_F3.png,681,494,NULL
9,104_11,baya,2,VID_20220217_112402_F-1.png,622,519,NULL,VID_20220217_112402_F3.png,688,406,NULL
10,104_12,val_1,2,VID_20220217_112402_F-1.png,292,282,NULL,VID_20220217_112402_F3.png,293,182,NULL
11,104_15,val_2,2,VID_20220217_112402_F-1.png,372,286,NULL,VID_20220217_112402_F3.png,385,187,NULL
12,104_16,val_1,2,VID_20220217_112402_F-1.png,345,285,NULL,VID_20220217_112402_F3.png,355,186,NULL
13,104_17,baya,2,VID_20220217_112402_F-1.png,713,529,NULL,VID_20220217_112402_F3.png,790,398,NULL
14,104_18,baya,2,VID_20220217_112402_F-1.png,744,504,NULL,VID_20220217_112402_F3.png,809,381,NULL
15,104_19,baya,2,VID_20220217_112402_F-1.png,773,543,NULL,VID_20220217_112402_F3.png,838,440,NULL
16,104_20,baya,2,VID_20220217_112402_F-1.png,572,370,NULL,VID_20220217_112402_F3.png,603,271,NULL
17,104_22,baya,2,VID_20220217_112402_F-1.png,700,400,NULL,VID_20220217_112402_F3.png,731,302,NULL
18,104_23,baya,2,VID_20220217_112402_F-1.png,844,494,NULL,VID_20220217_112402_F3.png,868,396,NULL
19,104_24,baya,2,VID_20220217_112402_F-1.png,531,461,NULL,VID_20220217_112402_F3.png,566,381,NULL
20,104_25,baya,2,VID_20220217_112402_F-1.png,595,526,NULL,VID_20220217_112402_F3.png,645,443,NULL
21,104_26,baya,2,VID_20220217_112402_F-1.png,801,445,NULL,VID_20220217_112402_F3.png,832,351,NULL
22,104_27,baya,2,VID_20220217_112402_F-1.png,779,508,NULL,VID_20220217_112402_F3.png,838,394,NULL
23,104_29,baya,2,VID_20220217_112402_F-1.png,688,554,NULL,VID_20220217_112402_F3.png,762,438,NULL
24,104_30,baya,2,VID_20220217_112402_F-1.png,724,473,NULL,VID_20220217_112402_F3.png,777,356,NULL
25,104_31,baya,2,VID_20220217_112402_F-1.png,726,429,NULL,VID_20220217_112402_F3.png,767,317,NULL
26,104_32,baya,2,VID_20220217_112402_F-1.png,656,516,NULL,VID_20220217_112402_F3.png,723,391,NULL
27,104_33,baya,2,VID_20220217_112402_F-1.png,595,503,NULL,VID_20220217_112402_F3.png,653,402,NULL
28,104_34,val_2,2,VID_20220217_112402_F-1.png,427,288,NULL,VID_20220217_112402_F3.png,446,191,NULL
29,104_35,baya,2,VID_20220217_112402_F-1.png,558,407,NULL,VID_20220217_112402_F3.png,583,331,NULL
30,104_36,baya,2,VID_20220217_112402_F-1.png,691,495,NULL,VID_20220217_112402_F3.png,757,368,NULL
31,104_37,baya,2,VID_20220217_112402_F-1.png,648,454,NULL,VID_20220217_112402_F3.png,700,348,NULL
32,104_38,baya,2,VID_20220217_112402_F-1.png,612,430,NULL,VID_20220217_112402_F3.png,655,327,NULL
33,104_39,baya,2,VID_20220217_112402_F-1.png,736,552,NULL,VID_20220217_112402_F3.png,801,452,NULL
34,104_40,baya,2,VID_20220217_112402_F-1.png,677,534,NULL,VID_20220217_112402_F3.png,755,403,NULL
35,104_41,baya,2,VID_20220217_112402_F-1.png,832,471,NULL,VID_20220217_112402_F3.png,869,365,NULL
36,104_42,baya,2,VID_20220217_112402_F-1.png,592,459,NULL,VID_20220217_112402_F3.png,629,377,NULL
37,104_43,baya,2,VID_20220217_112402_F-1.png,555,471,NULL,VID_20220217_112402_F3.png,578,421,NULL
38,104_44,baya,2,VID_20220217_112402_F-1.png,658,562,NULL,VID_20220217_112402_F3.png,725,474,NULL
39,104_45,cal_1,2,VID_20220217_112402_F-1.png,588,296,NULL,VID_20220217_112402_F3.png,611,200,NULL
40,103_1,baya,2,VID_20220217_112339_F-1.png,834,428,NULL,VID_20220217_112339_F3.png,855,308,NULL
41,103_2,val_1,2,VID_20220217_112339_F-1.png,415,249,NULL,VID_20220217_112339_F3.png,451,133,NULL
42,103_3,baya,2,VID_20220217_112339_F-1.png,695,507,NULL,VID_20220217_112339_F3.png,811,348,NULL
43,103_4,baya,2,VID_20220217_112339_F-1.png,724,486,NULL,VID_20220217_112339_F3.png,825,333,NULL
44,103_5,val_2,2,VID_20220217_112339_F-1.png,441,251,NULL,VID_20220217_112339_F3.png,478,134,NULL
45,103_6,baya,2,VID_20220217_112339_F-1.png,806,490,NULL,VID_20220217_112339_F3.png,853,399,NULL
46,103_8,baya,2,VID_20220217_112339_F-1.png,569,436,NULL,VID_20220217_112339_F3.png,658,309,NULL
47,103_9,val_2,2,VID_20220217_112339_F-1.png,491,254,NULL,VID_20220217_112339_F3.png,531,139,NULL
48,103_11,baya,2,VID_20220217_112339_F-1.png,666,515,NULL,VID_20220217_112339_F3.png,766,388,NULL
49,103_12,cal_2,2,VID_20220217_112339_F-1.png,694,268,NULL,VID_20220217_112339_F3.png,728,155,NULL
50,103_13,baya,2,VID_20220217_112339_F-1.png,591,425,NULL,VID_20220217_112339_F3.png,683,276,NULL
51,103_15,val_1,2,VID_20220217_112339_F-1.png,365,246,NULL,VID_20220217_112339_F3.png,392,129,NULL
52,103_17,baya,2,VID_20220217_112339_F-1.png,782,488,NULL,VID_20220217_112339_F3.png,849,378,NULL
53,103_18,baya,2,VID_20220217_112339_F-1.png,796,418,NULL,VID_20220217_112339_F3.png,881,318,NULL
54,103_19,baya,2,VID_20220217_112339_F-1.png,747,496,NULL,VID_20220217_112339_F3.png,823,378,NULL
55,103_20,baya,2,VID_20220217_112339_F-1.png,776,389,NULL,VID_20220217_112339_F3.png,856,289,NULL
56,103_21,baya,2,VID_20220217_112339_F-1.png,618,397,NULL,VID_20220217_112339_F3.png,698,255,NULL
